company_name,product_name,premium_male_40,premium_female_40,is_renewable
라이나손보(에이스손보),(무)플러스 암치료비보장보험(갱신형)2404 1종 일반심사형 2형 실속형,27130,8,True
KB라이프생명,KB 착한암보험 무배당,27600,15600,False
현대해상,(무)현대해상두배받는암보험(Hi2601) 2종,27662,8,False
한화손보,한화 다이렉트 내가고른 암보험 (무)2601 2종(세만기형),27778,9,False
라이나손보(에이스손보),(무)더핏 간편한 원모어 암보험Ⅱ(갱신형) 1종(325(암)간편심사형),27800,8,True
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(연만기형)2601(1종)(2형),27865,6,False
신한라이프생명,"신한(간편가입)꼬박꼬박항암치료비보험(무배당, 해약환급금 미지급형)",27870,29490,False
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(연만기형)2601(3종)(2형),28249,132,False
메리츠화재,(무) 올케어 보장 꽉 채운 암보험(연만기형)2601(2종)(1형),28681,4,False
푸본현대생명,ZERO 걱정없는 암보험 간편가입 무배당/갱신형(2601),28910,34105,True
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(연만기형)2601(1종)(2형),29249,100,False
한화생명,한화생명 e암보험(비갱신형) 무배당 (비흡연체형),29460,24450,True
한화손보,"한화 100세 암치료보장보험 (무)2601 1종(납입면제형, 기본형)",29542,0,False
롯데손보,"(무) let:care 종합암보험(88플러스원)(2601)_2종(100세/90세/80세만기, 해약환급금 미지급형Ⅱ)",29590,9,False
AIA생명,(무) 원스톱 프리미엄 암보험 (갱신형) 1종(암진단보장) 2형,29860,28465,True
AIA생명,(무) AIA 건강+ 암보험 (갱신형) 2형,29860,28465,True
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(연만기형)2601(3종)(2형),29874,3,False
AIA생명,(무) 안심되는 초간편 건강보험 (갱신형) 1형(암보장형),30020,31910,True
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(연만기형)2601(2종)(1형),30781,9,False
라이나생명,무배당첫날부터암보험(갱신형),30800,43360,True
라이나손보(에이스손보),(무)더핏 간편한 원모어 암보험(갱신형) 1종(325(암)간편심사형),31170,5,True
DB손보,(무)New I'mOK 암보험2601(7종),31280,6,False
교보생명,교보암·간병평생보장보험 (무배당),31403,29708,False
한화생명,한화생명 e암보험(비갱신형) 무배당 (표준체형),31980,24720,True
NH농협생명,"새로나온NH암보험(갱신형,건강관리형,무배당)_2404",31998,36562,True
신한라이프생명,"신한(간편가입)바로케어받는암보험(무배당, 갱신형)",32169,39488,True
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(연만기형)2601(1종)(2형),33200,7,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(연만기형)2601(2종)(1형),33275,3,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(연만기형)2601(3종)(2형),34022,1,False
롯데손보,"(무) let:care 종합암보험(88플러스원)(2601)_1종(100세/90세/80세만기, 일반형)",34370,9,False
ABL생명,(무)우리WON어린이보험(해약환급금 미지급형)[2형(일반암진단보장형)],34761,30644,False
DB손보,(무)New I'mOK암보험2601(3종),35010,9,False
교보생명,교보간편암평생보장보험 (무배당),35538,34278,False
하나손보,무배당 하나더퍼스트 암보험(TM)(간편심사형)(2601),35589,1,False
롯데손보,"(무) let:simple 간편 암보험(2601)_1종(간편심사Ⅱ,갱신형)",36176,207,True
라이나생명,무배당 라이나초간편암보험(갱신형),36220,54190,True
DB생명,(무)e로운 암보험(해약환급금 미지급형)(2601),37026,33280,False
교보라이프플래닛생명,"(무)교보라플 비갱신암보험(해약환급금 미지급형, 비흡연체)",37207,27479,True
하나손보,"무배당 하나더퍼스트 암보험(2601) 3종(갱신형, 표준형)",37462,101,True
KB손보,KB 다이렉트 내맘대로 암보험(무배당)(26.01),37610,2,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(연만기형)2601(2종)(1형),37643,3,False
신한라이프생명,"신한SOL암보험(무배당, 해약환급금 미지급형)",37890,26250,False
농협손보,(무) NH암뇌심원샷보험[해약환급금미지급형(납입중 0‰/ 납입후50‰)],38041,8,False
ABL생명,(무)우리WON더담은암보험(해약환급금 미지급형)(일반심사형),38184,33558,False
동양생명,무배당우리WON하는실속플러스하나로암보험,38449,36085,False
동양생명,무배당우리WON하는실속하나로암보험,38449,36085,False
DB손보,(무)New I'mOK 암보험2601(1종),39355,5,False
교보라이프플래닛생명,"(무)교보라플 비갱신암보험(해약환급금 미지급형, 표준체)",39454,27761,True
KB손보,슬기로운 간편건강보험(무배당)(26.01)_1종(간편심사형)_암 플랜(유병자),39888,7,False
한화손보,한화 골드클래스 여성 간편건강보험 (무)2601 4종(Lady암플랜(일반고지형)),40030,0,False
AIA생명,(무) AIA 건강+ 암보험 (갱신형) 1형,42190,39335,True
AIA생명,(무) 원스톱 프리미엄 암보험 (갱신형) 1종(암진단보장) 1형,42190,39335,True
ABL생명,(무)우리WON더담은암보험(일반심사형),42540,36420,False
하나손보,무배당 하나더퍼스트 3.0.5 간편 건강보험(간편심사형)(2601) 1종(암집중형),42822,6,False
처브라이프생명,Chubb 매월받는 암생활비보험(갱신형) 무배당,43100,44820,True
한화손보,한화 케어밸런스건강보험 (무)2601(암치료비플랜),44403,6,False
현대해상,(무)현대해상두배받는암보험(Hi2601) 1종,45475,2,False
미래에셋생명,온라인 암보험 무배당 [해약환급금이 없는 유형],45594,32165,False
하나손보,무배당 하나더퍼스트 암보험(TM)(일반심사형)(2601),45601,3,False
신한라이프생명,신한SOL암보험(무배당),45870,30270,False
라이나손보(에이스손보),(무)플러스 암치료비보장보험(갱신형)2404 1종 일반심사형 1형 기본형,46920,7,True
흥국화재,무배당 흥Good 모두 담은 암보험 PLUS(26.01)_(2종)(30년갱신형)(해약환급금 미지급형),47050,9,True
ABL생명,(무)우리WON더담은암보험(해약환급금 미지급형)(간편심사형),47724,45364,False
삼성생명,"삼성 인터넷 비갱신암보험(2601)(무배당, 무해약환급금형)",48420,30600,True
한화생명,한화생명 Need AI 암보험 무배당,49000,40336,False
흥국화재,무배당 흥Good 모두 담은 암보험 PLUS(26.01)_(2종)(20년갱신형)(해약환급금지급형),49300,7,True
한화손보,한화 골드클래스 여성 간편건강보험 (무)2601 2종(Lady암플랜(355여성간편고지형)),49708,0,False
메리츠화재,(무) 올케어 보장 꽉 채운 암보험(세만기형)2601(1종)(3형),50365,7,False
메리츠화재,(무) 올케어 보장 꽉 채운 암보험(세만기형)2601(3종)(3형),50973,8,False
한화생명,한화생명 간편가입 Need AI 암보험 무배당,51578,42930,False
AIG손보,무배당 AIG 든든한 암보험,51614,2,False
미래에셋생명,온라인 암보험 무배당 [기본형],52038,36017,False
신한라이프생명,"신한(간편가입)굿닥터암뇌심치료보험(무배당, 갱신형)",52080,57910,True
흥국화재,무배당 흥Good 모두 담은 암보험 PLUS(26.01)_(2종)(30년갱신형)(해약환급금지급형),52260,3,True
푸본현대생명,ZERO 나를위한 암보험 무배당 갱신형(2404),52438,58794,True
ABL생명,(무)우리WON더담은암보험(간편심사형),52878,49134,False
한화손보,한화 케어밸런스건강보험 (무)2601(암진단비플랜),53250,7,False
교보생명,교보통합암보험 (무배당),53989,38887,False
교보생명,교보통합암보험 [D](무배당),53989,38887,False
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(세만기형)2601(1종)(3형),54167,5,False
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(세만기형)2601(3종)(3형),54872,7,False
라이나손보(에이스손보),(무)플러스 암치료비보장보험(갱신형)2404 2종 간편심사형(5년질문) 2형 실속형,57040,5,True
NH농협생명,"새로나온NH암보험(비갱신형, 순수보장형, 무배당)_2404",57078,46162,True
메리츠화재,(무) 올케어 보장 꽉 채운 암보험(세만기형)2601(2종)(1형),60236,6,False
DB손보,(무)New간편암건강보험2601(1종),61913,2,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(세만기형)2601(1종)(3형),62612,2,False
AIA생명,(무) AIA 더 안심되는 초간편 건강보험 (갱신형) 1형(암보장형),63600,32100,True
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(세만기형)2601(3종)(3형),64155,5,False
메리츠화재,(무) 올케어 보장 꽉 채운 간편한 암보험(세만기형)2601(2종)(1형),65005,107,False
DB손보,(무)New I'mOK 암보험2601(4종),65440,6,False
교보생명,교보간편통합암보험 (무배당),67892,51545,False
교보생명,교보간편통합암보험 [D](무배당),67892,51545,False
AIG손보,무배당 AIG 든든한 간편암보험(325간편심사형),68393,5,False
NH농협생명,369새로나온NH암보험(무배당),68690,74680,False
처브라이프생명,Chubb New 매월받는 암생활비보험(갱신형) 무배당,69160,73970,True
라이나생명,(무)암으로치료하였어도OK암보험,69550,85800,False
하나손보,"무배당 하나더퍼스트 암보험(2601) 2종(세만기형, 해약환급금미지급형Ⅱ)",69999,8,False
하나생명,(무)Top3 건강보험Ⅱ 암보장형,71100,45300,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(세만기형)2601(1종)(3형),71154,4,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(세만기형)2601(3종)(3형),73069,8,False
하나손보,"무배당 하나더퍼스트 암보험(2601) 1종(세만기형, 표준형)",76366,9,False
메리츠화재,(무) 메리츠 또 걸려도 또 받는 암보험(세만기형)2601(2종)(1형),76601,7,False
DB손보,(무)New간편암건강보험2601(2종),77281,105,False
하나생명,(무)손안에 골라담는 암보험,79000,46000,False
NH농협생명,"행복두배NH통합암보험(비갱신형,무배당)_2404",84920,67662,True
교보라이프플래닛생명,"(무)교보라플 비갱신암보험(만기지급형, 비흡연체)",86100,73230,True
메리츠화재,(무) 메리츠 또 걸려도 또 받는 간편한 암보험(세만기형)2601(2종)(1형),87746,3,False
교보라이프플래닛생명,"(무)교보라플 비갱신암보험(만기지급형, 표준체)",88950,73740,True
NH농협생명,"NHe편한암보험(갱신형,비갱신형,무배당)_(비갱신형, 일반가입형)",89100,54600,True
처브라이프생명,Chubb 간편가입 New 매월받는 암생활비보험(갱신형) 무배당 간편심사형(3.5.5),89670,96270,True
흥국화재,무배당 흥Good 모두 담은 암보험 PLUS(26.01)_(1종)(납입후 해약환급금지급형의 50‰지급형),93100,3,False
라이나손보(에이스손보),(무)플러스 암치료비보장보험(갱신형)2404 2종 간편심사형(5년질문) 1형 기본형,96360,4,True
처브라이프생명,Chubb 간편가입 New 매월받는 암생활비보험(갱신형) 무배당 간편심사형(3.2.5),99020,103580,True
흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금미지급형V2),100500,76800,False
라이나생명,(무)뉴실버암보험(갱신형),101700,51300,True
흥국화재,무배당 흥Good 모두 담은 암보험 PLUS(26.01)_(1종)(해약환급금지급형),111030,7,False
흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금일부지급형),111900,82800,False
NH농협생명,"새로나온NH암보험(비갱신형, 만기환급형, 무배당)_2404",118598,100462,True
AIG손보,무배당 AIG 든든한 간편암보험(305간편심사형),120836,3,False
농협손보,"(무) NEW든든한암보험[3종:세만기형,일반심사형]",121726,8,False
흥국생명,(무)흥국생명언제나안심암보험2602,123300,88800,False
흥국화재,무배당 흥Good 든든한 325 암만 생각해도 간편종합보험(26.03)_(2종)(20년갱신형)(간편가입형)(해약환급금미지급형),127920,2,True
흥국화재,무배당 흥Good 든든한 325 암만 생각해도 간편종합보험(26.03)_(2종)(20년갱신형)(간편가입형)(해약환급금지급형),144660,6,True
한화생명,한화생명 시그니처H암보험 무배당,150490,114420,False
흥국생명,(무)흥국생명다(多)사랑암보험(해약환급금미지급형V2),152109,128867,False
