Total rows: 622
Row 027: 한화생명 | 한화생명 시그니처 H통합보험 무배당(납입면제형)[일반가입형] | 특약 | 암주요치료보장특약Ⅱ[기타피부암·갑상선암](치료별 연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 ‘기타피부암’ 또는 ‘갑상선암’으로 진단이 확정되고, 보험기간 중 그 직접적인 치료를 목적으로 ‘암 수술’을 받았을 경우(연간 1회한)※ 이외 보장담보는 상품요약서 참조 | 200만원 | 200만원 | 620  원 | 1,540  원 | 2.50 % | - | - | 113.7 % | 117.5 % | -
Row 028: 한화생명 | 한화생명 시그니처 H통합보험 무배당(납입면제형)[일반가입형] | 특약 | 뇌심혈관 주요치료보장특약(수술)(연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 ‘뇌심혈관질환’으로 진단이 확정되고, 보험기간 중 그 치료를 직접적인 목적으로 수술을 받았을 경우(연간 1회한) | 1,000만원 | 1,000만원 | 11930  원 | 5,870  원 | 2.50 % | - | - | 113.7 % | 117.5 % | -
Row 029: 한화생명 | 한화생명 시그니처 H통합보험 무배당(납입면제형)[일반가입형] | 특약 | 뇌심혈관 주요치료보장특약(혈전용해치료)(연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 ‘뇌심혈관질환’의 치료를 직접적인 목적으로 ‘혈전용해치료’를 받았을 경우(연간 1회한, 1년 미만 50% 지급) | 1,000만원 | 1,000만원 | 2700  원 | 1,430  원 | 2.50 % | - | - | 113.7 % | 117.5 % | -
Row 030: 한화생명 | 한화생명 시그니처 H통합보험 무배당(납입면제형)[간편가입형] | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망하였을 경우 (1년 미만 50% 지급, 단 재해로 인한 사망시 제외) | 1년미만 500만원, 1년이상 1,000만원 | 1,000만원 | 16400  원 | 11,400  원 | 2.50 % | - | - | 126.8 % | 132.6 % | -
Row 031: 한화생명 | 한화생명 시그니처 H통합보험 무배당(납입면제형)[간편가입형] | 특약 | 암주요치료보장특약Ⅱ[암(기타피부암·갑상선암 제외)](치료별 연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 암보장개시일 이후에 ‘암(기타피부암 및 갑상선암 제외)’으로 진단이 확정되고, 보험기간 중 그 직접적인 치료를 목적으로 ‘암 수술’을 받았을 경우(연간 1회한, 1년 미만 50% 지급)※ 이외 보장담보는 상품요약서 참조 | 1년미만 500만원, 1년이상 1,000만원 | 1,000만원 | 43610  원 | 32,990  원 | 2.50 % | - | - | 126.8 % | 132.6 % | -
Row 032: 한화생명 | 한화생명 시그니처 H통합보험 무배당(납입면제형)[간편가입형] | 특약 | 암주요치료보장특약Ⅱ[기타피부암·갑상선암](치료별 연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 암보장개시일 이후에 ‘암(기타피부암 및 갑상선암 제외)’으로 진단이 확정되고, 보험기간 중 그 직접적인 치료를 목적으로 ‘암 수술’을 받았을 경우(연간 1회한, 1년 미만 50% 지급)※ 이외 보장담보는 상품요약서 참조 | 1년미만 100만원, 1년이상 200만원 | 200만원 | 700  원 | 1,750  원 | 2.50 % | - | - | 126.8 % | 132.6 % | -
Row 033: 한화생명 | 한화생명 시그니처 H통합보험 무배당(납입면제형)[간편가입형] | 특약 | 뇌심혈관 주요치료보장특약(수술)(연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 ‘뇌심혈관질환’의 치료를 직접적인 목적으로 수술을 받았을 경우(연간 1회한, 1년 미만 50% 지급) | 1년미만 500만원, 1년이상 1,000만원 | 1,000만원 | 14560  원 | 7,470  원 | 2.50 % | - | - | 126.8 % | 132.6 % | -
Row 034: 한화생명 | 한화생명 시그니처 H통합보험 무배당(납입면제형)[간편가입형] | 특약 | 뇌심혈관 주요치료보장특약(혈전용해치료)(연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 ‘뇌심혈관질환’의 치료를 직접적인 목적으로 ‘혈전용해치료’를 받았을 경우(연간 1회한, 1년 미만 50% 지급) | 1년미만 500만원, 1년이상 1,000만원 | 1,000만원 | 3340  원 | 1,630  원 | 2.50 % | - | - | 126.8 % | 132.6 % | -
Row 035: 한화생명 | 한화생명 H보장보험Ⅰ 무배당[간편가입] | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망하였을 경우 | 1년미만 250만원, 1년이상 500만원(단, 재해로 인한 사망시 500만원) | 500만원 | 8950  원 | 6,250  원 | 2.50 % | - | - | 155.3 % | 171.5 % | -
Row 036: 한화생명 | 한화생명 H간병보험 무배당 [일반가입] | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망하였을 경우 | 500만원 | 500만원 | 6900  원 | 4,750  원 | 2.50 % | - | - | 119.7 % | 130.4 % | -
Row 037: 한화생명 | 한화생명 H간병보험 무배당 [일반가입] | 특약 | 간병인지원금특약(1-180일)(요양병원제외) 무배당[기본형] | 보험기간 중 피보험자가 질병으로 진단받거나 재해가 발생하여 그 치료를 직접적인 목적으로 요양병원을 제외한 병원급 또는 의원급 의료기관에 1일 이상 입원하며 '간병인'을 사용하여 실질적으로 유상의 간병서비스를 이용한 경우(간병인 사용 1일당, 1회 입원당 간병인 사용일수 180일 한도, 1년 미만 50%(단, 재해로 인한 입원시 제외) 지급) | 1년미만 5천원, 1년이상 1만원 | 1만원 | 848  원 | 1,084  원 | 2.50 % | - | - | 119.7 % | 130.4 % | -
Row 038: 한화생명 | 한화생명 H간병보험 무배당 [일반가입] | 특약 | 간병인지원금특약(1-180일)(요양병원제외)(갱신형) 무배당 | 보험기간 중 피보험자가 질병으로 진단받거나 재해가 발생하여 그 치료를 직접적인 목적으로 요양병원을 제외한 병원급 또는 의원급 의료기관에 1일 이상 입원하며 '간병인'을 사용하여 실질적으로 유상의 간병서비스를 이용한 경우 (간병인 사용 1일당, 1회 입원당 간병인 사용일수 180일 한도, 1년 미만 50%(단, 재해로 인한 입원시 제외) 지급) | 1년미만 5천원, 1년이상 1만원 | 1만원 | 352  원 | 457  원 | 2.50 % | - | - | 119.7 % | 130.4 % | -
Row 039: 한화생명 | 한화생명 H간병보험 무배당 [일반가입] | 특약 | 간병인지원금특약(특정 경증상병 제외)(1-180일)(요양병원제외) 무배당 | 보험기간 중 피보험자가 질병(특정 경증상병 제외)으로 진단받거나 재해(특정 경증상병 제외)가 발생하여 그 치료를 직접적인 목적으로 요양병원을 제외한 병원급 또는 의원급 의료기관에 1일 이상 입원하며 '간병인'을 사용하여 실질적으로 유상의 간병서비스를 이용한 경우(간병인 사용 1일당, 1년 미만 50%(단, 재해(특정 경증상병 제외)로 인한 입원시 제외) 지급) | 1년미만 5천원, 1년이상 1만원 | 1만원 | 622  원 | 729  원 | 2.50 % | - | - | 119.7 % | 130.4 % | -
Row 040: 한화생명 | 한화생명 H간병보험 무배당 [일반가입] | 특약 | 간병인지원금특약(특정 경증상병 제외)(1-180일)(요양병원) 무배당 | 보험기간 중 피보험자가 질병(특정 경증상병 제외)으로 진단받거나 재해(특정 경증상병 제외)가 발생하여 그 치료를 직접적인 목적으로 요양병원에 1일 이상 입원하며 '간병인'을 사용하여 실질적으로 유상의 간병서비스를 이용한 경우(간병인 사용 1일당, 1년 미만 50%(단, 재해(특정 경증상병 제외)로 인한 입원시 제외) 지급) | 1년미만 5천원, 1년이상 1만원 | 1만원 | 905  원 | 1,319  원 | 2.50 % | - | - | 119.7 % | 130.4 % | -
Row 041: 한화생명 | 한화생명 H보장보험Ⅰ 무배당[일반가입] | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망하였을 경우 | 500만원 | 500만원 | 6900  원 | 4,750  원 | 2.50 % | - | - | 119.7 % | 130.4 % | -
Row 042: 한화생명 | 한화생명 H간병보험 무배당 [간편가입] | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망하였을 경우 | 1년미만 250만원, 1년이상 500만원(단, 재해로 인한 사망시 500만원) | 500만원 | 8950  원 | 6,250  원 | 2.50 % | - | - | 155.3 % | 171.5 % | -
Row 043: 한화생명 | 한화생명 H간병보험 무배당 [간편가입] | 특약 | 간병인지원금특약(1-180일)(요양병원제외) 무배당[기본형] | 보험기간 중 피보험자가 질병으로 진단받거나 재해가 발생하여 그 치료를 직접적인 목적으로 요양병원을 제외한 병원급 또는 의원급 의료기관에 1일 이상 입원하며 '간병인'을 사용하여 실질적으로 유상의 간병서비스를 이용한 경우 (간병인 사용 1일당, 1회 입원당 간병인 사용일수 180일 한도, 1년 미만 50%(단, 재해로 인한 입원시 제외) 지급) | 1년미만 5천원, 1년이상 1만원 | 1만원 | 1303  원 | 1,876  원 | 2.50 % | - | - | 155.3 % | 171.5 % | -
Row 044: 한화생명 | 한화생명 H간병보험 무배당 [간편가입] | 특약 | 간병인지원금특약(1-180일)(요양병원제외)(갱신형) 무배당 | 보험기간 중 피보험자가 질병으로 진단받거나 재해가 발생하여 그 치료를 직접적인 목적으로 요양병원을 제외한 병원급 또는 의원급 의료기관에 1일 이상 입원하며 '간병인'을 사용하여 실질적으로 유상의 간병서비스를 이용한 경우 (간병인 사용 1일당, 1회 입원당 간병인 사용일수 180일 한도, 1년 미만 50%(단, 재해로 인한 입원시 제외) 지급) | 1년미만 5천원, 1년이상 1만원 | 1만원 | 569  원 | 835  원 | 2.50 % | - | - | 155.3 % | 171.5 % | -
Row 045: 한화생명 | 한화생명 H간병보험 무배당 [간편가입] | 특약 | 간병인지원금특약(특정 경증상병 제외)(1-180일)(요양병원제외) 무배당 | 보험기간 중 피보험자가 질병(특정 경증상병 제외)으로 진단받거나 재해(특정 경증상병 제외)가 발생하여 그 치료를 직접적인 목적으로 요양병원을 제외한 병원급 또는 의원급 의료기관에 1일 이상 입원하며 '간병인'을 사용하여 실질적으로 유상의 간병서비스를 이용한 경우(간병인 사용 1일당, 1년 미만 50%(단, 재해(특정 경증상병 제외)로 인한 입원시 제외) 지급) | 1년미만 5천원, 1년이상 1만원 | 1만원 | 951  원 | 1,255  원 | 2.50 % | - | - | 155.3 % | 171.5 % | -
Row 046: 한화생명 | 한화생명 H간병보험 무배당 [간편가입] | 특약 | 간병인지원금특약(특정 경증상병 제외)(1-180일)(요양병원) 무배당 | 보험기간 중 피보험자가 질병(특정 경증상병 제외)으로 진단받거나 재해(특정 경증상병 제외)가 발생하여 그 치료를 직접적인 목적으로 요양병원에 1일 이상 입원하며 '간병인'을 사용하여 실질적으로 유상의 간병서비스를 이용한 경우(간병인 사용 1일당, 1년 미만 50%(단, 재해(특정 경증상병 제외)로 인한 입원시 제외) 지급) | 1년미만 5천원, 1년이상 1만원 | 1만원 | 1276  원 | 2,110  원 | 2.50 % | - | - | 155.3 % | 171.5 % | -
Row 047: 한화생명 | 한화생명 밸류플러스보장보험2.0 무배당 | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망한 경우 | 사망보험금 지급사유 발생당시 기준사망보험금 | 3,000만원 | 279000  원 | 266,400  원 | 2.75 % | - | - | 162.5 % | 172.7 % | -
Row 048: 한화생명 | 한화생명 밸류플러스보장보험2.0 무배당 | 특약 | 50%장해보험료납입면제특약II 무배당 | 동일한 재해 또는 재해 이외의 동일한 원인으로 여러 신체부위의 장해지급률을 더하여 50% 이상의 장해상태가 된 경우 | 납입면제보험료 : 차회 이후의 보험료 | 남자 279,000원,여자 266,400원(주계약 3천만원 기준) | 243  원 | 72  원 | 2.75 % | - | - | 162.5 % | 172.7 % | -
Row 049: 한화생명 | 한화생명 간편가입 밸류플러스보장보험2.0 무배당 | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망한 경우 | 사망보험금 지급사유 발생당시 기준사망보험금 | 3,000만원 | 291900  원 | 276,900  원 | 2.75 % | - | - | 170.0 % | 179.5 % | -
Row 050: 한화생명 | 한화생명 간편가입 밸류플러스보장보험2.0 무배당 | 특약 | 간편가입 50%장해보험료납입면제특약II 무배당 | 동일한 재해로 여러 신체부위의 장해지급률을 더하여 50% 이상의 장해상태가 된 경우 | 차회 이후의 보험료 | 남자 291,900원,여자 276,900원(주계약 3천만원 기준) | 169  원 | 44  원 | 2.75 % | - | - | 170.0 % | 179.5 % | -
Row 051: 한화생명 | 한화생명 걸음e건강보험 무배당 | 주계약 | e뇌혈관질환진단보장보험(비갱신형) 무배당 | 뇌혈관질환 진단자금_보험기간 중 피보험자가 ‘뇌혈관질환’으로 진단이 확정되었을 경우(최초 1회한, 2년미만 50%지급) | 2년미만 1,000만원, 2년이상 2,000만원 | 2,000만원 | 12920  원 | 12,180  원 | 2.50 % | - | - | 108.4 % | 110.4 % | -
Row 052: 한화생명 | 한화생명 걸음e건강보험 무배당 | 주계약 | e허혈성심장질환진단보장보험(비갱신형) 무배당 | 허혈성심장질환 진단자금_보험기간 중 피보험자가 '허혈성심장질환'으로 진단이 확정되었을 경우(최초 1회한, 2년미만 50%지급) | 2년미만 500만원, 2년이상 1,000만원 | 1,000만원 | 5900  원 | 3,290  원 | 2.50 % | - | - | 108.4 % | 110.4 % | -
Row 053: 한화생명 | 한화생명 걸음e건강보험 무배당 | 주계약 | e암진단보장보험Ⅱ(비갱신형) 무배당 | 암 진단자금_보험기간 중 암보장개시일 이후 피보험자가 ‘암(직ㆍ결장암, 유방암, 여성생식기암, 전립선암, 기타피부암, 중증이외의 갑상선암, 대장점막내암 제외)’으로 진단이 확정되었을 경우(최초 1회한, 2년미만 50%지급)※ 이외 보장담보는 상품요약서 참조 | 2년미만 1,500만원, 2년이상 3,000만원 | 3,000만원 | 34473  원 | 25,884  원 | 2.50 % | - | - | 108.4 % | 110.4 % | -
Row 054: 한화생명 | 한화생명 H건강플러스보험 무배당(해약환급금 일부지급형)[일반가입형Ⅰ] | 주계약 | 3대질병 사망보험금 | 보험기간 중 피보험자가 보장개시일(‘암’은 암보장개시일) 이후에 ‘암’, ‘뇌혈관질환’ 또는 ‘허혈성심장질환’으로 진단이 확정되고, 그 ‘암’, ‘뇌혈관질환’ 또는 ‘허혈성심장질환’을 직접적인 원인으로 사망한 경우 | 납입기간 중 3,000만원, 납입기간 후 3,000만원+증액계약보장보험금액 | 3,000만원 | 132900  원 | 122,700  원 | 3.00 % | - | - | 146.1 % | 149.0 % | -
Row 055: 한화생명 | 한화생명 H건강플러스보험 무배당(해약환급금 일부지급형)[일반가입형Ⅰ] | 주계약 | 사망보험금 | 보험기간 중 피보험자가 보장개시일 이후에 사망한 경우 | 납입기간 중 3,000만원, 납입기간 후 3,000만원+증액계약보장보험금액 | 3,000만원 | 132900  원 | 122,700  원 | 3.00 % | - | - | 146.1 % | 149.0 % | -
