보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
농협손보,(무) NH위너스상해보험[2종:VIP플러스플랜(금리확정형)]2601 (월납),종합,주계약 및 특약 합산,상해사고로 사망한 경우,가입금액,가입금액,"209,107 원","99,180 원",,비갱신형,,,,,file_47.xls,,농협손보,(무) NH위너스상해보험[2종:VIP플러스플랜(금리확정형)]2601,일반상해사망,상해사고로 사망한 경우,가입금액,"209,107","99,180",166.8,159.6,,,,,,,,,,,,,,,,,,,,
농협손보,(무) NH위너스상해보험[3종:상해플랜(금리연동형)]2601 (월납),종합,주계약 및 특약 합산,상해로 골절을 입고 그 치료를 직접적인 목적으로 수술시(1사고당),가입금액,가입금액,"10,412 원","4,970 원",,비갱신형,,,,,file_47.xls,,농협손보,(무) NH위너스상해보험[3종:상해플랜(금리연동형)]2601,골절수술비,상해로 골절을 입고 그 치료를 직접적인 목적으로 수술시(1사고당),가입금액,"10,412","4,970",150.8,144.8,,,,,,,,,,,,,,,,,,,,
농협손보,(무) 헤아림상해치료보험[1종:일반심사형]2601 (월납),종합,주계약 및 특약 합산,상해로 인한 골절(치아파절제외)로 진단 확정된 경우,가입금액,가입금액,"26,661 원","20,196 원",,비갱신형,,,,,file_47.xls,,농협손보,(무) 헤아림상해치료보험[1종:일반심사형]2601,골절진단비(치아파절제외),상해로 인한 골절(치아파절제외)로 진단 확정된 경우,가입금액,"26,661","20,196",1.1,1,,,,,,,,,,,,,,,,,,,,
농협손보,(무) 헤아림상해치료보험[2종:320간편심사형]2601 (월납),종합,주계약 및 특약 합산,상해로 인한 골절(치아파절제외)로 진단 확정된 경우,가입금액,가입금액,"60,767 원","46,090 원",,비갱신형,,,,,file_47.xls,,농협손보,(무) 헤아림상해치료보험[2종:320간편심사형]2601,골절진단비(치아파절제외)(320간편가입),상해로 인한 골절(치아파절제외)로 진단 확정된 경우,가입금액,"42,467","34,230",1.8,1.7,,,,,,,,,,,,,,,,,,,,
롯데손보,(무) let:care 상해보험(2604) (월납),종합,주계약 및 특약 합산,급성심근경색증으로 진단확정된 경우,"보험가입금액(단, 계약일로부터 경과기간 1년 미만시 보험가입금액의 50%)","보험가입금액(단, 계약일로부터 경과기간 1년 미만시 보험가입금액의 50%)","21,172 원","23,898 원",,비갱신형,,,,,file_47.xls,,롯데손보,(무) let:care 상해보험(2604),급성심근경색증진단비,급성심근경색증으로 진단확정된 경우,"보험가입금액(단, 계약일로부터 경과기간 1년 미만시 보험가입금액의 50%)","21,172","23,898",124.3,137.3,,,,,,,,,,,,,,,,,,,,
롯데손보,(무) let:care 생활상해종합보험(주택플러스)(2604) (월납),종합,주계약 및 특약 합산,상해로 상급종합병원에 입원하여 치료를 받은 경우 1일당 보험가입금액 지급 (보험금 지급 일수는 1회 입원당 180일 한도),보험가입금액,보험가입금액,"5,008 원","3,620 원",,비갱신형,,,,,file_47.xls,,롯데손보,(무) let:care 생활상해종합보험(주택플러스)(2604),상급종합병원 상해입원비(1일-180일),상해로 상급종합병원에 입원하여 치료를 받은 경우 1일당 보험가입금액 지급 (보험금 지급 일수는 1회 입원당 180일 한도),보험가입금액,"5,008","3,620",75.3,72,,,,,,,,,,,,,,,,,,,,
롯데손보,(무) 다쳤을땐 상해보험(2604) (월납),종합,주계약 및 특약 합산,"보험기간 중에 상해의 직접결과로써 병원에 입원 또는 통원하여'상해재활치료(급여)'를 받은 경우 각각 1일 1회에 한하여 보험가입금액 지급※ 단,'입원 상해재활치료(급여)'와'통원 상해재활치료(급여)'를 합산하여 연간 30회한도로 보장합니다.",보험가입금액,보험가입금액,"13,372 원","10,440 원",,비갱신형,,,,,file_47.xls,,롯데손보,(무) 다쳤을땐 상해보험(2604),"상해재활치료비(급여,1일1회,연간30회한)","보험기간 중에 상해의 직접결과로써 병원에 입원 또는 통원하여'상해재활치료(급여)'를 받은 경우 각각 1일 1회에 한하여 보험가입금액 지급※ 단,'입원 상해재활치료(급여)'와'통원 상해재활치료(급여)'를 합산하여 연간 30회한도로 보장합니다.",보험가입금액,"13,372","10,440",113.9,114,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 상해안심보험2601 (월납),종합,주계약 및 특약 합산,골절로 진단확정되었을때,50만원,50만원,"25,639 원","23,371 원",,비갱신형,,,,,file_47.xls,,메리츠화재,(무) 메리츠 상해안심보험2601,갱신형·골절진단비Ⅱ,골절로 진단확정되었을때,50만원,"25,639","23,371",122.3,124.8,,,,,,,,,,,,,,,,,,,,
에이스손보,(무)이젠 나만의 상해보험(갱신형) (월납),종합,주계약 및 특약 합산,보험기간 중에 상해의 직접적인 결과로써 사망하였을 경우,특약가입금액,특약가입금액,"18,760 원","13,270 원",,갱신형,,,,,file_47.xls,,라이나손보(에이스손보),(무)이젠 나만의 상해보험(갱신형),상해사망보장(갱신형) 특별약관,보험기간 중에 상해의 직접적인 결과로써 사망하였을 경우,특약가입금액,"18,760","13,270",133.2,133.3,,,,,,,,,,,,,,,,,,,,
하나손보,무배당 하나더넥스트 상해보험(방카)(2604) (월납),종합,주계약 및 특약 합산,상해로 사망시,보험가입금액,보험가입금액,"14,700 원","9,900 원",,비갱신형,,,,,file_47.xls,,하나손보,무배당 하나더넥스트 상해보험(방카)(2604),일반상해사망,상해로 사망시,보험가입금액,"14,700","9,900",123,173.1,,,,,,,,,,,,,,,,,,,,
